"","Saanich_010","Saanich_100","Saanich_120","Saanich_135","Saanich_150","Saanich_165","Saanich_200"
"Otu0647",2,30,6,2,13,9,8
"Otu0648",22,2,9,4,2,13,18
"Otu0649",5,182,2,45,53,2,28
"Otu0650",2,5,6,2,4,4,30
"Otu0651",2,2,10,8,2,8,22
"Otu0652",9,15,6,2,2,2,4
"Otu0653",2,4,8,9,8,2,8
"Otu0654",2,6,2,2,2,4,17
"Otu0655",27,2,2,7,4,4,5
"Otu0656",22,9,12,4,4,2,8
"Otu0657",29,2,12,2,4,14,6
"Otu0658",25,2,6,2,11,2,32
"Otu0659",2,2,6,5,10,6,6
"Otu0660",29,3,2,6,2,2,13
"Otu0661",2,18,11,5,6,2,2
"Otu0662",91,242,345,344,860,228,29
"Otu0663",11,9,4,2,2,26,2
"Otu0664",28,2,2,10,2,4,2
"Otu0665",2,2,7,9,8,2,12
"Otu0666",5,4,2,2,7,8,11
"Otu0667",2,11,16,4,6,2,6
"Otu0668",4,2,2,2,6,14,6
"Otu0669",20,6,2,2,22,50,2
"Otu0670",11,8,16,2,2,2,4
"Otu0671",4,6,22,35,13,69,28
"Otu0672",14,4,6,4,4,2,10
"Otu0673",2,17,7,2,2,23,11
"Otu0674",19,6,2,144,112,12,119
"Otu0675",25,2,3,11,1,69,2
"Otu0676",16,2,7,4,4,4,2
"Otu0677",15,2,2,9,16,4,3
"Otu0678",22,6,10,5,6,2,18
"Otu0679",2,3,9,2,22,3,2
"Otu0680",2,2,2,4,4,17,4
"Otu0681",19,2,4,2,2,2,10
"Otu0682",2,18,9,4,2,29,7
"Otu0683",27,2,2,4,6,2,12
"Otu0684",13,10,8,7,2,6,2
"Otu0685",144,3,4,2,2,2,27
"Otu0686",2,4,15,7,2,2,32
"Otu0687",6,4,2,2,19,3,2
"Otu0688",2,8,4,7,2,2,11
"Otu0689",1,3,7,2,14,3,18
"Otu0690",91,1277,430,2,2,21,3
"Otu0691",22,5,10,5,2,6,18
"Otu0692",2,24,4,2,6,4,2
"Otu0693",10,2,2,8,3,9,26
"Otu0694",7,8,2,4,8,17,26
"Otu0695",2,18,5,2,2,6,2
"Otu0696",25,1,2,2,6,4,117
"Otu0697",2485,25,2,56,13,2,190
"Otu0698",23,6,2,2,3,21,3
"Otu0699",2,10,11,2,2,6,8
"Otu0700",2,12,11,2,2,2,6
"Otu0701",8,2,2,2,2,10,11
"Otu0702",2,4,2,4,2,16,7
"Otu0703",18,5,2,2,2,2,4
"Otu0704",1,2,87,63,1268,356,25
"Otu0705",5,15,3,2,2,4,4
"Otu0706",14,2,12,7,6,3,18
"Otu0707",4,2,4,2,2,21,2
"Otu0708",4,3,2,2,23,2,25
"Otu0709",25,25,2,2,2,4,2
"Otu0710",4,4,4,2,2,2,23
"Otu0711",13,2,2,6,2,2,2
"Otu0712",2,14,2,2,2,23,8
"Otu0713",10,5,12,2,7,6,2
"Otu0714",3,2,2,2,8,16,4
"Otu0715",2,2,2,2,26,22,2
"Otu0716",18,20,2,2,4,2,31
"Otu0717",21,2,4,6,4,6,4
"Otu0718",2,2,2,7,2,13,155
"Otu0719",24,8,2,2,3,23,100
"Otu0720",10,12,2,2,6,23,2
"Otu0721",5,2,4,28,27,20,2
"Otu0722",1,8,12,4,20,4,2
"Otu0723",24,2,2,2,2,23,8
"Otu0724",13,17,4,2,5,15,4
"Otu0725",2,8,9,2,2,13,18
"Otu0726",2,17,3,4,2,9,2
"Otu0727",4,3,17,5,2,8,2
"Otu0728",9,11,2,2,2,9,2
"Otu0729",24,2,4,10,4,6,2
"Otu0730",24,3,2,2,2,29,2
"Otu0731",14,5,2,2,3,17,6
"Otu0732",3,4,4,2,7,2,24
"Otu0733",2,2,28,10,18,2,24
"Otu0734",6,2,8,2,10,2,4
"Otu0735",6,9,5,2,2,17,3
"Otu0736",5,12,10,2,2,4,32
"Otu0737",8,2,3,6,12,59,2
"Otu0738",5,9,5,4,6,8,9
"Otu0739",2,9,10,2,6,4,9
"Otu0740",74,2,2,6,15,21,3
"Otu0741",23,8,2,2,5,2,2
"Otu0742",2,18,10,8,2,2,21
"Otu0743",27,10,9,13,1,4,2
"Otu0744",2,6,22,8,9,26,6
"Otu0745",14,15,8,2,2,2,10
"Otu0746",2,15,6,16,19,2,2
"Otu0747",2,6,2,2,2,4,23
"Otu0748",1,2,30,11,12,12,2
"Otu0749",2,9,10,4,15,4,6
"Otu0750",23,637,465,233,143,61,2
"Otu0751",2,2,3,2,9,9,3
"Otu0752",11,2,2,3,3,7,13
"Otu0753",2,12,9,4,4,2,6
"Otu0754",2,2,8,4,22,9,32
"Otu0755",10,7,2,10,4,4,12
"Otu0756",16,2,4,2,2,2,2
"Otu0757",14,4,3,2,17,22,2
"Otu0758",44,17,5,8,2,21,25
"Otu0759",20,5,2,2,2,9,4
"Otu0760",16,2,2,4,2,3,2
"Otu0761",22,9,6,7,3,6,4
"Otu0762",167,2,2,2,2,20,2
"Otu0763",2,10,8,2,2,2,6
"Otu0764",21,2,6,4,4,2,22
"Otu0765",2,3,2,6,2,9,22
"Otu0766",13,2,2,2,2,5,7
"Otu0767",22,75,40,9,3,2,2
"Otu0768",2,6,16,2,2,2,2
"Otu0769",2,12,4,3,2,2,22
"Otu0770",2,4,2,4,2,4,22
"Otu0771",2,4,2,6,8,29,4
"Otu0772",2,7,2,2,5,6,5
"Otu0773",18,20,4,2,2,9,4
"Otu0774",18,2,2,5,2,2,7
"Otu0775",5,3,2,4,2,6,14
"Otu0776",2,4,12,6,2,4,18
"Otu0777",2,13,9,8,4,3,2
"Otu0778",105,2,14,13,5,4,4
"Otu0779",25,4,2,20,20,21,58
"Otu0780",11,2,2,2,15,2,17
"Otu0781",5,9,10,4,2,2,6
"Otu0782",872,48,21,2,15,13,2
"Otu0783",21,4,2,2,22,4,2
"Otu0784",17,2,2,2,4,2,3
"Otu0785",11,5,5,7,4,2,2
"Otu0786",21,9,5,2,2,2,117
"Otu0787",21,2,35,21,2,7,6
"Otu0788",74,3,2,2,6,21,6
"Otu0789",8,2,2,4,2,3,18
"Otu0790",40,4,2,11,4,21,2
"Otu0791",2,6,4,9,2,3,21
"Otu0792",19,8,2,2,2,6,5
"Otu0793",21,10,10,24,14,69,33892
"Otu0794",10,4,5,2,2,2,10
"Otu0795",21,17,2,2,17,12,8
"Otu0796",10,2,2,3,4,1,11
"Otu0797",2,7,21,9,12,2,4
"Otu0798",2,7,11,2,2,1,6
"Otu0799",3,4,2,2,2,2,17
"Otu0800",6,13,2,3,2,2,4
"Otu0801",5,10,9,2,2,2,18
"Otu0802",2,9,2,2,6,7,5
"Otu0803",2,2,2,2,2,20,11
"Otu0804",11,10,8,6,2,2,7
"Otu0805",2,7,2,4,6,8,2
"Otu0806",18,8,2,2,2,4,2
"Otu0807",11,2,8,4,4,4,6
"Otu0808",2,2,4,2,6,8,2
"Otu0809",1,2,2,14,2,2,845
"Otu0810",1,8,10,5,2,2,2
"Otu0811",20,5,4,101,180,1,9
"Otu0812",13,10,8,2,2,2,116
"Otu0813",18,11,2,2,2,2,2
"Otu0814",2,8,6,4,2,9,9
"Otu0815",2,16,4,5,2,4,77958
"Otu0816",3,2,2,4,8,4,5
"Otu0817",14,4,6,2,20,2,18
"Otu0818",2,16,13,2,2,18,6
"Otu0819",4,2,2,2,2,14,11
"Otu0820",20,2,3,11,4,2,10
"Otu0821",2,8,10,2,2,2,32
"Otu0822",2,7,11,2,7,13,6
"Otu0823",12,2,92,71,10,2,20
"Otu0824",4,12,2,2,2,2,100
"Otu0825",11,31,8,2,4,2,19
"Otu0826",3,2,2,4,9,6,7
"Otu0827",11,3,4,4,7,8,3
"Otu0828",3,8,6,2,2,2,2
"Otu0829",6,2,2,4,6,5,12
"Otu0830",93,2,55,4,15,89,2
"Otu0831",12,3,2,4,2,2,100
"Otu0832",11,2,2,2,2,1,19
"Otu0833",19,6,2,2,12,2,2
"Otu0834",13,2,4,2,3,2,13
"Otu0835",5,7,8,2,2,2,116
"Otu0836",13,2,6,7,4,2,2
"Otu0837",2,13,4,2,2,23,3
"Otu0838",2,6,4,7,2,3,2
"Otu0839",11,6,2,2,4,29,4
"Otu0840",3,2,2,4,7,4,12
"Otu0841",93,11,8,4,2,2,22
"Otu0842",11,6,5,2,4,2,10
"Otu0843",2,8,2,2,2,19,100
"Otu0844",2,7,10,2,2,2,9
"Otu0845",216,808,394,144,8,17,2
"Otu0846",1271,19,2,20,7,2,13
"Otu0847",2,10,6,3,12,64,3
"Otu0848",2,34,10,2,2,4,19
"Otu0849",14,2,2,2,2,2,19
"Otu0850",5,17,2,6,2,2,2
"Otu0851",2,7,6,10,22,2,2
"Otu0852",2,8,10,4,47,18,4
"Otu0853",4,2,2,2,4,12,9
"Otu0854",14,4,2,6,2,2,77958
"Otu0855",8,3,4,2,6,3,18
"Otu0856",2,6,10,2,20,11,2
"Otu0857",74,3,2,2,5,2,18
"Otu0858",4,2,6,8,2,2,2
"Otu0859",7,14,4,2,2,21,2
"Otu0860",8,3,2,4,7,2,16
"Otu0861",4,2,2,4,2,8,12
"Otu0862",8,4,5,3,2,9,22
"Otu0863",5,5,2,5,2,2,18
"Otu0864",2,18,16,17,13,1,8
"Otu0865",18,2,2,9,6,4,10
"Otu0866",2,11,7,2,4,9,2
"Otu0867",25,9,9,2,5,6,8
"Otu0868",18,6,2,2,4,1,5
"Otu0869",18,4,2,2,2,2,5
"Otu0870",102,369,1111,618,1653,696,18
"Otu0871",14,2,2,2,2,2,3
"Otu0872",16,2,2,9,2,21,2
"Otu0873",2,10,8,2,2,2,6
"Otu0874",3,2,2,2,2,6,8
"Otu0875",18,4,2,2,4,9,8
"Otu0876",6,10,6,2,23,3,6
"Otu0877",4,10,4,2,4,9,4
"Otu0878",4,9,2,4,2,4,8
"Otu0879",15,2,13,2,7,8,4
"Otu0880",6,2,6,7,6,2,11
"Otu0881",2,2,7,2,6,5,6
"Otu0882",2,5,5,7,5,6,2
"Otu0883",2,4,5,8,2,4,8
"Otu0884",11,7,5,5,21,3,6
"Otu0885",17,2,2,7,2,4,2
"Otu0886",2,4,2,3,2,15,2
"Otu0887",2,6,10,7,1,2,2
"Otu0888",2,6,8,3,2,2,116
"Otu0889",4,2,4,2,2,2,15
"Otu0890",6,11,2,2,2,2,4
"Otu0891",17,11,2,2,23,4,6
"Otu0892",8,15,2,24,4,17,91
"Otu0893",74,2,2,2,6,7,5
"Otu0894",8,4,2,2,5,10,7
"Otu0895",1,11,3,2,2,4,12
"Otu0896",17,6,2,20,4,17,2
"Otu0897",2,2,8,3,2,2,18
"Otu0898",4,10,13,4,5,4,6
"Otu0899",8,12,2,3,19,4,4
"Otu0900",8,9,22,6,6,13,2
"Otu0901",2,22,3,2,2,13,2
"Otu0902",2,2,4,2,4,7,2
"Otu0903",14,11,6,3,4,9,22
"Otu0904",10,2,2,2,12,5,6
"Otu0905",16,2,2,2,2,21,7
"Otu0906",8,4,2,2,2,2,5
"Otu0907",6,10,4,2,6,2,22
"Otu0908",13,2,2,2,4,10,3
"Otu0909",8,3,2,2,15,2,14
"Otu0910",16,5,2,2,15,2,3
"Otu0911",12,4,2,2,2,23,2
"Otu0912",2,12,16,8,8,21,6
"Otu0913",14,2,39,45,2,4,12
"Otu0914",8,6,8,4,4,2,16
"Otu0915",2,2,8,7,6,2,3
"Otu0916",12,2,2,2,15,4,6
"Otu0917",16,2,2,4,6,9,5
"Otu0918",14,2,2,2,2,14,11
"Otu0919",4,4,4,6,4,12,2
"Otu0920",4,2,5,4,2,7,2
"Otu0921",2,7,7,16,4,2,2
"Otu0922",6,8,2,2,17,4,2
"Otu0923",16,6,2,23,24,2,28
"Otu0924",2,13,3,2,2,6,3
"Otu0925",4,2,4,6,4,23,3
"Otu0926",147,2,6,8,2,1,2
"Otu0927",2,2,6,6,2,2,7
"Otu0928",2,11,5,2,7,2,10
"Otu0929",16,2,2,4,2,4,12
"Otu0930",5,2,2,6,2,6,2
"Otu0931",2,5,2,2,2,14,12
"Otu0932",2,14,2,2,4,2,100
"Otu0933",2,2,4,6,2,4,3
"Otu0934",3,2,2,3,2,8,2
"Otu0935",12,195,97,19,1,2,15
"Otu0936",6,5,2,2,12,13,117
"Otu0937",4,2,3,2,2,4,15
"Otu0938",2,2,2,4,7,2,15
"Otu0939",15,8,3,2,15,2,2
"Otu0940",15,2,2,2,4,2,9
"Otu0941",42,2,2,4,9,4,8
"Otu0942",2,7,4,4,2,6,20
"Otu0943",3,2,2,2,2,29,11
"Otu0944",6,2,2,2,2,17,15
"Otu0945",2,7,2,2,4,21,4
"Otu0946",4,4,5,4,2,2,9
"Otu0947",7,13,2,2,2,2,3
"Otu0948",2,10,5,4,2,6,6
"Otu0949",2,4,7,4,3,2,6
"Otu0950",6,4,3,2,6,2,22
"Otu0951",15,4,2,4,2,9,7
"Otu0952",15,2,6,2,2,2,2
"Otu0953",13,2,2,13,2,21,845
"Otu0954",2,5,2,7,6,2,5
"Otu0955",13,2,4,7,2,2,5
"Otu0956",4,10,3,2,2,17,5
"Otu0957",8,11,12,4,47,2,4
"Otu0958",15,3,12,16,2,3,15
"Otu0959",2,4,3,8,15,7,5
"Otu0960",4,4,2,2,2,13,2
"Otu0961",2,16,7,1,3,9,2
"Otu0962",2,9,2,4,2,4,2
"Otu0963",15,2,2,3,3,2,5
"Otu0964",2,7,8,2,2,9,18
"Otu0965",2,2,2,1,2,12,4
"Otu0966",2,2,2,2,7,4,2
"Otu0967",2,8,7,2,4,2,2
"Otu0968",2,7,6,2,2,9,6
"Otu0969",15,6,2,2,2,29,100
"Otu0970",167,3,4,4,2,2,2
"Otu0971",15,68,120,135,95,8,33892
"Otu0972",2,3,2,2,7,6,4
"Otu0973",4,151,148,264,4,11,2
"Otu0974",5,6,9,3,2,3,116
"Otu0975",8,4,9,2,2,30,116
"Otu0976",8,2,4,7,9,2,4
"Otu0977",14,2,6,2,2,2,2
"Otu0978",2,7,1,4,2,2,14
"Otu0979",14,95,64,2,15,4,6
"Otu0980",2,3,4,2,4,9,4
"Otu0981",2,4,4,2,2,9,4
"Otu0982",12,2,2,1,1,2,117
"Otu0983",14,2,2,2,4,9,3
"Otu0984",14,4,2,2,4,2,11
"Otu0985",14,36,3,4,3,69,11
"Otu0986",2,2,2,2,12,2,6
"Otu0987",2,6,8,2,20,36,4
"Otu0988",2,12,8,2,2,2,116
"Otu0989",2,14,126,29,23,832,2
"Otu0990",5,4,6,2,2,2,6
"Otu0991",22,2,6,2,2,2,2
"Otu0992",13,2,2,2,4,8,9
"Otu0993",1,36,34,4,2,14,4
"Otu0994",4,8,2,2,2,4,20
"Otu0995",14,5,4,2,6,59,8
"Otu0996",14,2,6,16,13,2,12
"Otu0997",2,6,4,4,2,9,2
"Otu0998",6,4,2,2,2,21,8
"Otu0999",14,3,18,26,14,2,2
"Otu1000",6,2,2,2,17,2,14
"Otu1001",14,2,2,2,2,2,3
"Otu1002",14,10,2,2,2,6,12
"Otu1003",2,10,4,8,2,2,2
"Otu1004",12,5,2,2,2,29,4
"Otu1005",10,2,2,2,2,21,4
"Otu1006",12,2,5,2,8,4,116
"Otu1007",2,2,2,3,7,2,4
"Otu1008",2,10,4,3,2,6,4
"Otu1009",2,8,6,2,4,2,6
"Otu1010",10,2,2,6,2,2,2
"Otu1011",14,2,2,6,6,29,4
"Otu1012",14,2,3,2,4,2,22
"Otu1013",14,2,2,2,17,6,6
"Otu1014",14,2,5,2,4,4,6
"Otu1015",14,4,2,3,2,4,10
"Otu1016",10,4,2,2,23,2,4
"Otu1017",21,5,2,2,2,29,14
"Otu1018",6,2,10,2,44,2,12
"Otu1019",21,10,2,2,2,4,14
"Otu1020",2,6,6,2,2,9,6
"Otu1021",11,11,2,2,13,2,3
"Otu1022",15,6,8,18,16,9,2
"Otu1023",22,2,7,2,3,2,18
"Otu1024",5,2,4,6,2,2,4
"Otu1025",2,7,2,2,8,2,2
"Otu1026",2,7,6,9,2,3,77958
"Otu1027",2,9,2,2,2,9,5
"Otu1028",147,2,2,6,2,9,13
"Otu1029",2,9,2,2,2,6,5
"Otu1030",7,9,2,2,2,23,3
"Otu1031",2,6,2,13,4,9,2
"Otu1032",5,4,22,2,6,2,13
"Otu1033",6,6,3,2,2,21,13
"Otu1034",2,2,5,2,2,2,2
"Otu1035",13,3,2,2,14,11,6
"Otu1036",2,2,2,5,2,4,4
"Otu1037",2,2,2,14,19,13,3
"Otu1038",2,4,7,2,8,16,8
"Otu1039",13,2,2,2,7,4,4
"Otu1040",13,217,225,4,171,813,6
"Otu1041",3,4,5,4,23,2,4
"Otu1042",13,2,2,5,2,2,5
"Otu1043",13,529,1126,949,165,2,12
"Otu1044",13,3,2,2,23,2,116
"Otu1045",13,4,2,2,2,29,3
"Otu1046",22,64,9,2,2,2,2
"Otu1047",2,7,10,5,4,2,2
"Otu1048",2,2,32,35,2,21,13
"Otu1049",13,25,33,35,59,2,2
"Otu1050",2,4,3,2,6,2,10
"Otu1051",6,11,2,2,2,2,4
"Otu1052",2,16,10,2,18,31,13
"Otu1053",2,13,4,2,2,3,10
"Otu1054",6,2,3,2,7,2,3
"Otu1055",2,185,235,182,386,23,13
"Otu1056",11,2,2,2,2,2,9
"Otu1057",2,7,4,2,22,6,8
"Otu1058",11,2,2,5,2,9,5
"Otu1059",8,23,7,4,2,4,3
"Otu1060",2,2,2,2,2,2,11
"Otu1061",167,2,2,6,7,4,2
"Otu1062",8,9,2,28,47,2,2
"Otu1063",2,6,3,2,2,13,5
"Otu1064",4,5,8,13,8,6,5
"Otu1065",2,1,2,7,2,4,7
"Otu1066",2,2,2,5,2,2,9
"Otu1067",4,4,2,2,2,13,7
"Otu1068",25,5,6,2,41,9,4
"Otu1069",2,6,7,2,2,2,18
"Otu1070",2,7,4,10,2,6,126
"Otu1071",14,3,2,2,2,21,12
"Otu1072",4,2,2,4,2,29,5
"Otu1073",8,3,2,2,17,2,12
"Otu1074",6,9,8,4,2,2,10
"Otu1075",2,2,10,2,2,2,6
"Otu1076",8,2,2,4,2,6,100
"Otu1077",12,2,9,37,8,4,2
"Otu1078",10,2,2,2,2,17,7
"Otu1079",14,4,2,15,19,6,2
"Otu1080",10,2,2,2,2,2,3
"Otu1081",2,2,2,4,3,3,4
"Otu1082",9,4,10,9,3,1,4
"Otu1083",19,7,2,5,32,2,3
"Otu1084",2,7,5,18,4,2,85
"Otu1085",12,2,2,5,2,2,2
"Otu1086",2,39,12,2,2,6,3
"Otu1087",10,2,2,5,6,21,7
"Otu1088",2,2,8,2,20,6,2
"Otu1089",3,8,4,2,2,2,4
"Otu1090",12,5,2,2,15,43,4
"Otu1091",12,3,2,2,2,3,5
"Otu1092",6481,155,2,112,47,18,12
"Otu1093",2,2,2,2,2,4,3
"Otu1094",12,2,21,4,20,8,12
"Otu1095",2,4,12,11,7,2,117
"Otu1096",12,2,2,6,2,2,2
"Otu1097",2,7,2,2,2,8,4
"Otu1098",12,3,2,6,2,3,2
"Otu1099",12,4,2,4,7,2,12
"Otu1100",2,6,4,5,2,9,14
"Otu1101",4,4,2,2,2,17,2
"Otu1102",13,6,2,3,4,21,2
"Otu1103",167,9,4,2,20,4,3
"Otu1104",12,2,3,2,2,21,4
"Otu1105",12,2,10,23,2,2,7
"Otu1106",4,8,2,4,2,2,2
"Otu1107",2,2,8,2,2,2,18
"Otu1108",2,2,2,4,4,2,10
"Otu1109",12,1669,3381,3664,1711,4,14
"Otu1110",6,2,2,2,2,2,8
"Otu1111",2,7,4,2,6,2,6
"Otu1112",11,12,3,2,15,64,3
"Otu1113",8,4,8,4,4,40,2
"Otu1114",10,2,9,16,2,4,10
"Otu1115",2,4,2,2,2,12,5
"Otu1116",2,2,3,7,2,12,4
"Otu1117",4,118,5,2,12,6,12
"Otu1118",2,2,2,3,2,2,9
"Otu1119",2,2,6,9,2,4,2
"Otu1120",11,2,4,2,6,11,6
"Otu1121",12,6,2,7,6,2,3
"Otu1122",14,2,2,2,6,4,22
"Otu1123",2,2,2,2,23,10,8
"Otu1124",5,2,6,8,2,4,2
"Otu1125",11,4,6,2,21,4,18
"Otu1126",2,2,8,2,2,6,9
"Otu1127",2,2,4,4,2,2,4
"Otu1128",13,2,2,17,18,2,10
"Otu1129",12,5,2,2,2,2,11
"Otu1130",35,7,3,2,4,9,5
"Otu1131",2,11,6,2,2,21,4
"Otu1132",3,2,3,4,2,4,5
"Otu1133",15,3,11,13,2,11,8
"Otu1134",2,2,4,2,5,4,2
"Otu1135",290,5,6,2,4,2,11
"Otu1136",7,10,7,2,2,2,11
"Otu1137",5,9,2,7,3,21,2
"Otu1138",2,11,50,25,6,43,12
"Otu1139",11,21,2,2,6,4,4
"Otu1140",3,4,2,2,2,2,8
"Otu1141",2,6,5,2,7,30,3
"Otu1142",11,22,2,2,2,4,5
"Otu1143",74,2,7,18,13,4,2
"Otu1144",9,3,2,11,2,6,3
"Otu1145",9,2,6,2,5,2,18
"Otu1146",93,4,86,101,20,6,7
"Otu1147",2,14,2,2,4,2,5
"Otu1148",2,11,2,2,2,6,100
"Otu1149",6,11,2,2,2,9,100
"Otu1150",6,4,4,5,2,2,9
"Otu1151",2,7,4,2,2,1,117
"Otu1152",11,13,2,2,23,6,6
"Otu1153",11,31,8,11,4,2,31
"Otu1154",9,2,2,8,2,4,6
"Otu1155",22,4,7,9,6,1,12
"Otu1156",2,6,5,2,8,2,18
"Otu1157",11,2,4,2,6,2,2
"Otu1158",27,7,4,54,1268,567,146
"Otu1159",23,2,90,63,24,11,12
"Otu1160",18,5,2,2,2,4,4
"Otu1161",2,3,6,2,2,9,18
"Otu1162",2,2,2,2,5,2,2
"Otu1163",2,2,2,6,2,9,11
"Otu1164",7,9,2,2,15,64,5
"Otu1165",21,2,2,3,2,11,3
"Otu1166",22,7,4,2,2,9,3
"Otu1167",11,2,2,17,2,2,4
"Otu1168",3,2,2,2,2,9,2
"Otu1169",4,5,2,8,7,6,2
"Otu1170",11,2,2,2,12,6,6
"Otu1171",3,2,2,2,22,62,11
"Otu1172",2,128,40,4,4,2,9
"Otu1173",11,2,2,4,2,3,4
"Otu1174",14,2,2,2,12,4,7
"Otu1175",4,2,2,2,9,6,10
"Otu1176",6,11,2,2,2,2,2
"Otu1177",2,2,7,2,2,2,11
"Otu1178",2,7,2,2,15,2,11
"Otu1179",11,207,157,102,40,2,7
"Otu1180",6,11,4,5,2,2,2
"Otu1181",2,9,2,2,2,2,2
"Otu1182",2,2,2,2,2,2,11
"Otu1183",29,9,2,4,4,17,4
"Otu1184",6,8,3,2,2,2,2
"Otu1185",79,4,7,2,2,12,6
"Otu1186",13,5,6,13,4,2,10
"Otu1187",4,5,2,4,4,9,2
"Otu1188",79,9,4,15,4,21,7
"Otu1189",2,9,10,8,2,29,5
"Otu1190",5,2,2,2,6,2,6
"Otu1191",3,2,2,2,2,3,9
"Otu1192",6,4,2,7,2,3,6
"Otu1193",13,8,5,2,2,2,4
"Otu1194",2,2,2,2,2,4,9
"Otu1195",2,8,2,10,2,2,2
"Otu1196",4,2,3,2,2,9,10
"Otu1197",4,2,2,2,2,21,7
"Otu1198",2,4,2,2,2,6,4
"Otu1199",2,2,2,2,4,2,10
"Otu1200",7,2,2,2,2,4,6
"Otu1201",206,8,2,4,2,21,2
"Otu1202",8,2,4,2,2,2,3
"Otu1203",2,4,4,2,2,2,2
"Otu1204",2,2,132,67,7,7,10
"Otu1205",6,2,4,6,18,2,2
"Otu1206",2,2,2,2,4,2,9
"Otu1207",7,3,5,2,8,6,2
"Otu1208",74,2,2,2,4,4,11
"Otu1209",2,2,2,7,23,8,2
"Otu1210",2,2,1,3,4,1,4
"Otu1211",14,1,1,2,6,9,11
"Otu1212",2,4,2,2,2,9,7
"Otu1213",10,3,6,8,23,4,2
"Otu1214",2,10,2,2,14,4,6
"Otu1215",2,6,8,7,2,8,2
"Otu1216",2,4,492,497,6,2,2
"Otu1217",10,8,5,10,5,2,4
"Otu1218",6,2,2,2,2,1,11
"Otu1219",2,5,6,4,17,4,6
"Otu1220",10,5,2,3,12,30,5
"Otu1221",2,4,2,2,2,17,12
"Otu1222",5,10,6,9,2,2,2
"Otu1223",10,2,23,2,28,114,9
"Otu1224",2,7,4,8,2,2,4
"Otu1225",4,6,3,2,4,21,4
"Otu1226",10,6,3,4,2,2,12
"Otu1227",8,2,2,2,7,2,3
"Otu1228",6,2,2,2,8,4,117
"Otu1229",2,2,4,2,4,2,10
"Otu1230",4,2,4,4,2,21,8
"Otu1231",79,2,2,4,4,2,14
"Otu1232",2,3,6,2,2,2,2
"Otu1233",3,2,2,2,6,2,2
"Otu1234",8,6,4,2,2,4,4
"Otu1235",10,2,3,2,22,20,18
"Otu1236",14,4,29,34,15,2,8
"Otu1237",8,2,2,2,2,21,2
"Otu1238",2,6,2,3,6,4,8
"Otu1239",74,5,7,26,3,2,2
"Otu1240",13,2,2,2,2,6,2
"Otu1241",6,2,2,2,2,6,5
"Otu1242",2,2,11,4,6,2,18
"Otu1243",6,4,4,17,2,2,2
"Otu1244",147,6,4,6,2,2,5
"Otu1245",8,2,2,2,15,4,4
"Otu1246",8,2,5,17,2,6,8
"Otu1247",14,7,2,2,2,4,10
"Otu1248",8,2,4,8,2,2,2
"Otu1249",2,2,2,10,8,2,2
"Otu1250",4,2,2,2,2,2,10
"Otu1251",21,4,2,6,8,2,4
"Otu1252",8,10,5,6,36,2,8
"Otu1253",2,3,4,6,2,4,2
"Otu1254",2,8,3,2,10,11,22
"Otu1255",4,2,2,4,2,17,10
"Otu1256",2,6,3,2,2,29,8
"Otu1257",13,2,4,6,2,4,100
"Otu1258",2,4,2,4,6,17,4
"Otu1259",8,8,12,13,6,3,2
"Otu1260",1,2,3,4,36,1,2
"Otu1261",15,2,4,2,2,2,2
"Otu1262",6,6,2,2,2,3,8
"Otu1263",2,2,4,3,2,2,117
"Otu1264",2,3,5,2,15,5,18
"Otu1265",2,6,4,2,2,4,4
"Otu1266",3,4,2,2,23,2,2
"Otu1267",2,8,2,2,2,2,12
"Otu1268",2,2,23,11,15,8,2
"Otu1269",39,4,4,2,2,2,117
"Otu1270",2,2,2,2,17,6,8
"Otu1271",6,6,10,5,4,2,6
"Otu1272",2,10,8,2,23,8,32
"Otu1273",7,2,2,2,2,23,7
"Otu1274",6,2,3,2,5,4,2
"Otu1275",9,3,2,2,5,2,9
"Otu1276",7,2,86,67,76,43,2
"Otu1277",2,2,3,7,2,6,4
"Otu1278",6,2,2,2,5,9,22
"Otu1279",2,5,2,2,4,4,7
"Otu1280",4,2,3,3,2,2,5
"Otu1281",4,3,4,2,2,2,2
"Otu1282",9,2,8,4,2,2,2
"Otu1283",79,2,28,3,2,4,292
"Otu1284",81,1277,117,102,189,71,9
"Otu1285",7,2,2,4,21,2,3
"Otu1286",2,9,2,2,7,4,5
"Otu1287",9,2,3,7,3,6,2
"Otu1288",2,4,2,2,2,5,4
"Otu1289",9,2,2,2,12,2,2
"Otu1290",167,4,2,3,4,40,5
"Otu1291",7,3,2,9,6,4,2
"Otu1292",5,3,3,4,2,21,2
"Otu1293",9,24,106,79,102,25,2
"Otu1294",79,2,2,2,5,4,3
"Otu1295",6,2,5,2,2,2,2
"Otu1296",2,9,2,2,2,21,2
"Otu1297",9,10,2,2,4,9,5
"Otu1298",6,2,3,4,23,6,18
"Otu1299",74,6,3,8,2,3,5
"Otu1300",6,7,2,5,4,6,2
"Otu1301",11,7,2,2,2,9,2
"Otu1302",4,7,2,2,2,3,2
"Otu1303",8,9,2,4,2,2,2
"Otu1304",9,2,2,2,2,23,7
"Otu1305",7,5,2,4,2,9,2
"Otu1306",9,3,2,2,4,9,11
"Otu1307",2,2,5,2,2,2,2
"Otu1308",2,2,5,2,4,2,6
"Otu1309",2,9,55,15,2,4,15
