"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv150"	0	30	0	65	0	0	0
"Asv151"	0	0	0	0	0	0	57
"Asv152"	0	0	47	0	0	0	0
"Asv153"	0	81	85	0	0	0	0
"Asv154"	0	0	0	0	0	0	16
"Asv155"	0	0	0	0	47	0	0
"Asv156"	0	0	46	13	0	0	0
"Asv157"	0	0	0	0	0	15	0
"Asv158"	0	0	0	0	28	0	0
"Asv159"	0	14	47	0	0	33	0
"Asv160"	0	112	123	98	46	0	0
"Asv161"	0	0	0	0	0	0	59
"Asv162"	0	0	0	0	0	8	0
"Asv163"	74	1250	1545	1760	1478	221	0
"Asv164"	0	25	0	0	0	0	0
"Asv165"	0	0	0	0	0	39	0
"Asv166"	125	49	40	0	0	0	0
"Asv167"	0	0	0	0	0	0	12
"Asv168"	0	0	0	0	0	14	0
"Asv169"	109	0	0	33	11	0	0
"Asv170"	0	0	32	0	0	0	0
"Asv171"	122	0	0	0	0	0	0
"Asv172"	0	0	0	25	0	0	0
"Asv173"	22	35	25	0	44	0	0
"Asv174"	0	0	0	0	0	0	26
"Asv175"	0	0	0	0	53	0	0
"Asv176"	20	0	0	0	0	0	0
"Asv177"	0	0	0	0	0	17	0
"Asv178"	0	0	0	0	5	42	0
"Asv179"	0	0	0	3	0	0	0
"Asv180"	0	0	0	0	0	0	22
"Asv181"	0	0	10	0	0	0	0
"Asv182"	33	14	0	0	0	0	0
"Asv183"	0	0	0	37	48	0	0
"Asv184"	0	0	0	49	36	47	0
"Asv185"	0	0	12	0	0	0	0
"Asv186"	0	97	71	45	45	0	0
"Asv187"	0	46	73	18	0	0	0
"Asv188"	12	47	208	292	511	162	0
"Asv189"	0	0	0	0	0	0	54
"Asv190"	0	0	0	0	0	0	5
"Asv191"	2570	412	288	186	79	37	0
"Asv192"	0	0	0	0	0	14	0
"Asv193"	0	0	0	0	0	0	51
"Asv194"	0	0	0	0	0	0	10
"Asv195"	525	57	44	48	0	0	0
"Asv196"	0	33	0	0	0	0	0
"Asv197"	0	12	0	0	0	0	0
"Asv198"	0	0	0	0	0	6	0
"Asv199"	0	0	0	0	0	15	0
"Asv200"	152	1301	697	172	52	51	0
"Asv201"	0	38	0	0	0	0	0
"Asv202"	0	9	0	0	0	0	0
"Asv203"	0	55	0	0	0	0	0
"Asv204"	97	61	56	20	0	0	0
"Asv205"	0	0	9	0	0	0	0
"Asv206"	0	0	0	0	22	0	0
"Asv207"	0	0	0	0	0	0	45
"Asv208"	0	0	30	32	71	67	0
"Asv209"	0	26	0	0	0	40	0
"Asv210"	0	31	27	0	0	0	0
"Asv211"	0	0	0	0	7	0	0
"Asv212"	0	28	28	46	0	0	0
"Asv213"	1039	94	54	59	25	50	0
"Asv214"	0	33	23	0	20	0	0
"Asv215"	61	0	0	0	0	0	0
"Asv216"	30	0	0	0	0	0	0
"Asv217"	0	0	40	0	0	0	0
"Asv218"	20	30	21	0	16	8	0
"Asv219"	0	16	0	0	26	0	0
"Asv220"	0	0	0	0	0	0	18
"Asv221"	0	0	0	0	0	30	0
"Asv222"	0	0	0	0	0	0	114
"Asv223"	0	0	0	0	0	0	6
"Asv224"	0	0	0	0	0	0	7
"Asv225"	0	15	0	0	0	0	0
"Asv226"	0	0	36	0	37	36	0
"Asv227"	0	59	37	0	0	0	0
"Asv228"	0	37	33	0	24	19	0
"Asv229"	0	0	0	0	0	0	63
"Asv230"	0	0	0	14	0	0	0
"Asv231"	0	0	0	0	13	0	0
"Asv232"	0	239	235	122	67	0	0
"Asv233"	233	27	0	32	0	0	0
