OTU ID	depth10	depth100	depth120	depth135	depth150	depth165	depth200
c9ef3391e65e2ccc34a36d9a04bd66fc	256.0	4541.0	13071.0	16841.0	25942.0	29306.0	0.0
1c996799ff26b4558e9e5167048f273a	235.0	4181.0	12047.0	15429.0	23687.0	27108.0	0.0
838b539ee58ec706fa5f9b35ea022039	338.0	3741.0	12313.0	14996.0	22917.0	26217.0	0.0
f28e0bed860f11386b376d4a7efe018a	0.0	0.0	0.0	0.0	0.0	0.0	27249.0
630e095819034b157d768aa857158d7d	0.0	0.0	0.0	0.0	0.0	0.0	24834.0
a13432cf1c30c5a2ac1299d507c0639c	0.0	0.0	0.0	0.0	0.0	0.0	22935.0
c3a0ca9a2bf8e8f4e142d079b067c1f7	1381.0	9828.0	4649.0	1588.0	491.0	266.0	0.0
46f2e7d001f43ea0bf1e9d85e1815cb7	2016.0	7624.0	4454.0	1475.0	486.0	216.0	0.0
d502516d984f74ea7f4470babaf85baf	0.0	0.0	0.0	0.0	0.0	0.0	15072.0
34f24197d01b0abf335b9f47cf1ac47b	87.0	1925.0	3062.0	3740.0	3144.0	2496.0	0.0
36c84465974a7b66740531da74a9b290	31.0	557.0	1700.0	2301.0	3155.0	6060.0	0.0
bdcdf115744cf4cf91e200e3edaadf02	215.0	3809.0	3413.0	2149.0	1371.0	630.0	0.0
d88a2b2d8ba7ba6a42379259efad44d4	316.0	3238.0	3616.0	2062.0	1172.0	592.0	0.0
b050307b8259c12e1653eeb2754b75f2	24.0	701.0	1317.0	994.0	1565.0	3907.0	0.0
fab508a5cbf427edb6f8ad22fd11466b	5276.0	1365.0	632.0	494.0	150.0	122.0	0.0
9676f28b5c153fe98cb6ef8800cb4900	6108.0	591.0	366.0	437.0	221.0	47.0	0.0
cf843ee20dc9c3d765488612d33bec5a	162.0	2967.0	1967.0	795.0	299.0	167.0	0.0
125112353a9aa9bbe60bf98db3509c18	74.0	1250.0	1545.0	1760.0	1478.0	221.0	0.0
03393b4f089e40de9fc5851f41045fbf	85.0	988.0	1502.0	1659.0	1320.0	247.0	0.0
1b5fd8b59ec6b9061a367789a9e21bfc	38.0	677.0	1249.0	783.0	638.0	1954.0	0.0
868a386ca1285844070150b820ec0839	30.0	681.0	1084.0	787.0	587.0	1869.0	0.0
6047144d216cf4c8532585e9f679f098	124.0	1676.0	1440.0	667.0	340.0	121.0	0.0
7aba3971c21ff753e5c238999bc54fed	163.0	1718.0	1146.0	931.0	284.0	47.0	0.0
4334633253dc36615be0a635cc6342d9	93.0	1938.0	1071.0	411.0	189.0	339.0	0.0
a14bc68ef79d0a3d13589f275f7431c5	86.0	1848.0	1080.0	425.0	183.0	325.0	0.0
0aba6c0164894f9b8ff6cc4ffa846f4b	138.0	1468.0	1291.0	631.0	292.0	125.0	0.0
3907fe609924c504ab69a6747b134472	45.0	933.0	1177.0	779.0	594.0	326.0	0.0
72b19eddd6e1996dc51af7b387b1b320	141.0	1620.0	1094.0	382.0	170.0	292.0	0.0
ce3eebcb9f455a3a848787101265bd36	429.0	1408.0	850.0	568.0	301.0	39.0	0.0
146f89b796688673b0622685a85196f6	2570.0	412.0	288.0	186.0	79.0	37.0	0.0
c151132c8c6c1e256e7a0c03ad1d4440	2765.0	262.0	179.0	158.0	75.0	0.0	0.0
e8749e3626ed7cc022c31630ed902f09	0.0	494.0	795.0	1066.0	864.0	158.0	0.0
f429b4cb3ba13a6539c464eda6a31721	619.0	1130.0	703.0	508.0	269.0	46.0	0.0
462c03802104611b327353800febe6a1	0.0	120.0	297.0	258.0	372.0	2155.0	0.0
1ce6ea34a90b1ef65387ebb072096928	33.0	405.0	896.0	940.0	771.0	130.0	0.0
26d89a7a9fa4f4d0d6893095cbb6df01	2696.0	159.0	127.0	133.0	40.0	0.0	0.0
a079929bc1ef4faa9c75d64851e1b2f8	48.0	1021.0	1034.0	446.0	275.0	320.0	0.0
52382d20bbd731693f0ca5af7abcbfb1	0.0	26.0	77.0	580.0	1502.0	824.0	0.0
b8c0cd3fbd56d73546da80b86694d8be	2509.0	168.0	126.0	99.0	33.0	0.0	0.0
cf14dbc468570ce06e2d57f679b08944	103.0	1051.0	1138.0	402.0	170.0	60.0	0.0
d1e0c9e2e18b38a310bc3cec3fac4d1f	1627.0	554.0	294.0	272.0	77.0	58.0	0.0
89dae3443ba4293b7f5f37dcabc9bd5c	0.0	0.0	40.0	67.0	61.0	2633.0	0.0
b2a98c939814f47f249bb179307d7fa4	1697.0	499.0	256.0	217.0	89.0	42.0	0.0
90b6e362f68aca91f30a7717b19f1d0b	1965.0	306.0	171.0	199.0	74.0	53.0	0.0
50a8ac8300b33fd97bfa2e59fb8682a0	99.0	1603.0	730.0	192.0	48.0	59.0	0.0
b5d4bdeb000e10c724f58808b9e8b3f2	115.0	1403.0	737.0	279.0	99.0	35.0	0.0
5e7e6167be920b73255f862cd676011b	0.0	0.0	0.0	0.0	0.0	0.0	2666.0
f0a8e2a9eca3af2d37b0e451c56d7d74	1821.0	294.0	192.0	194.0	75.0	72.0	0.0
db7eb9cbc6725e5def00f20c2ccd8b07	0.0	0.0	0.0	0.0	0.0	0.0	2630.0
633b35d01d59f8dc9ab136acf7adbf49	694.0	897.0	330.0	282.0	133.0	138.0	0.0
c09c352a620281b8246adc7635ba0954	1084.0	438.0	364.0	236.0	171.0	172.0	0.0
159c8f4dd48622e1d10332868ac7bf34	152.0	1301.0	697.0	172.0	52.0	51.0	0.0
c5fc12c8bfded05c17703bbecd006b78	1879.0	173.0	98.0	179.0	51.0	0.0	0.0
5bdba4b59c8996e8cb16acb0b200243f	0.0	64.0	310.0	360.0	337.0	1295.0	0.0
b31292448b59de29e53f9fdc0a491757	1778.0	180.0	127.0	170.0	60.0	42.0	0.0
105d2e8a2b235ab578f877833c2e1a75	750.0	557.0	332.0	281.0	187.0	206.0	0.0
ac1f1726ce0fbce6ab407c4428b11d1f	1725.0	178.0	99.0	117.0	29.0	89.0	0.0
7be82529434ee9389afde2cdfaccdc0d	1998.0	76.0	41.0	62.0	37.0	0.0	0.0
ce0a32bad2c91f5d600226896cd75b7a	84.0	829.0	575.0	370.0	137.0	41.0	0.0
c425e2acc488d729d2ff6f12026183cb	187.0	1157.0	445.0	182.0	33.0	0.0	0.0
e7d74c819b6df9fdda3cb04f7e8cb3f7	126.0	716.0	602.0	344.0	142.0	36.0	0.0
d5b35d3b61bc177523e66f86e3a9cf93	48.0	934.0	439.0	309.0	141.0	57.0	0.0
37bc509db2dd10ca836a67eb1774e142	54.0	914.0	563.0	220.0	93.0	43.0	0.0
1f0415042f5b32f107d15c8fc793b6cd	66.0	392.0	393.0	372.0	370.0	290.0	0.0
532a415c52a70e00cbd75ba7f210e091	0.0	538.0	647.0	351.0	245.0	99.0	0.0
db0cc7f0fd62ebb31f730a597adafc4a	171.0	792.0	452.0	233.0	110.0	83.0	0.0
dcfa588ad313b16856db2fd1291b68a1	290.0	635.0	467.0	218.0	114.0	85.0	0.0
